analysis_group,year,n_entries,mean_sent,prop_neg,prop_pos
MigrantBlock,2000,10,-0.012367331981658935,0.5,0.5
MigrantBlock,2001,8,0.474799245595932,0.25,0.75
MigrantBlock,2002,23,-0.3241175775942595,0.6521739130434783,0.34782608695652173
MigrantBlock,2003,25,0.24246367692947388,0.36,0.64
MigrantBlock,2004,44,-0.04967688565904444,0.5227272727272727,0.4772727272727273
MigrantBlock,2005,36,0.1120682805776596,0.4166666666666667,0.5833333333333334
MigrantBlock,2006,26,-0.003834268221488366,0.5,0.5
MigrantBlock,2007,37,-0.04595998815588049,0.5135135135135135,0.4864864864864865
MigrantBlock,2008,34,0.07261613186667948,0.4411764705882353,0.5588235294117647
MigrantBlock,2009,39,-0.0608060726752648,0.5384615384615384,0.46153846153846156
MigrantBlock,2010,61,0.08004002004373269,0.4426229508196721,0.5573770491803278
MigrantBlock,2011,118,-0.11425845703836214,0.5677966101694916,0.4322033898305085
MigrantBlock,2012,146,-0.3259662005999317,0.6712328767123288,0.3287671232876712
MigrantBlock,2013,288,-0.23088675944341552,0.6180555555555556,0.3819444444444444
MigrantBlock,2014,302,-0.22296938852758597,0.6158940397350994,0.3841059602649007
MigrantBlock,2015,856,-0.3203541438016936,0.6647196261682243,0.3352803738317757
MigrantBlock,2016,1563,-0.468336116710841,0.7370441458733206,0.2629558541266795
MigrantBlock,2017,603,-0.4014406345574615,0.7064676616915423,0.2935323383084577
MigrantBlock,2018,1056,-0.43492159015978826,0.7234848484848485,0.2765151515151515
MigrantBlock,2019,1705,-0.3342382901225272,0.6703812316715543,0.3296187683284457
MigrantBlock,2020,1870,-0.46951201647360696,0.741711229946524,0.25828877005347595
MigrantBlock,2021,6460,-0.4790718512084831,0.7492260061919505,0.25077399380804954
MigrantBlock,2022,11573,-0.4696972230625556,0.7405167199516115,0.2594832800483885
MigrantBlock,2023,6805,-0.5116170222316044,0.7648787656135194,0.23512123438648053
MigrantBlock,2024,7412,-0.5197461517884547,0.769158121964382,0.23084187803561793
MigrantBlock,2025,1091,-0.4863904498237519,0.7516040329972502,0.24839596700274977
Russian,1999,8,-0.020538359880447388,0.5,0.5
Russian,2000,22,0.37366813963109796,0.3181818181818182,0.6818181818181818
Russian,2001,24,0.11866679042577744,0.4583333333333333,0.5416666666666666
Russian,2002,106,0.2729359629019251,0.3490566037735849,0.6509433962264151
Russian,2003,227,0.2071586516460133,0.3876651982378855,0.6123348017621145
Russian,2004,222,0.2729371947211188,0.34684684684684686,0.6531531531531531
Russian,2005,380,0.2776715087263208,0.3447368421052632,0.6552631578947369
Russian,2006,255,0.3706132030954548,0.3058823529411765,0.6941176470588235
Russian,2007,97,0.18195131206020868,0.38144329896907214,0.6185567010309279
Russian,2008,100,0.10174683570861816,0.44,0.56
Russian,2009,125,-0.11548802137374878,0.552,0.448
Russian,2010,273,0.05132809030267345,0.46886446886446886,0.5311355311355311
Russian,2011,353,-0.03714465537760143,0.5127478753541076,0.48725212464589235
Russian,2012,299,-0.08187191960803641,0.5384615384615384,0.46153846153846156
Russian,2013,472,-0.020233489446720834,0.5,0.5
Russian,2014,439,-0.09467365774315419,0.5489749430523918,0.4510250569476082
Russian,2015,608,-0.224660941154549,0.618421052631579,0.3815789473684211
Russian,2016,673,-0.049168346895328424,0.5215453194650818,0.4784546805349183
Russian,2017,347,-0.05424218133134869,0.5302593659942363,0.4697406340057637
Russian,2018,1266,-0.13871629670332958,0.5687203791469194,0.4312796208530806
Russian,2019,836,-0.2224871116249185,0.6160287081339713,0.3839712918660287
Russian,2020,1444,-0.2769562870759383,0.6419667590027701,0.35803324099722994
Russian,2021,849,-0.3435994677324598,0.6796230859835101,0.32037691401649
Russian,2022,3229,-0.3579966541819249,0.6847321152059461,0.3152678847940539
Russian,2023,1390,-0.33377451107656353,0.6719424460431654,0.32805755395683456
Russian,2024,586,-0.3399203111490699,0.6791808873720137,0.32081911262798635
Russian,2025,1905,-0.3657491037538984,0.689238845144357,0.31076115485564304
Syrian,2000,4,-0.029203027486801147,0.5,0.5
Syrian,2001,8,0.6218414977192879,0.125,0.875
Syrian,2002,36,0.21656328274144065,0.3888888888888889,0.6111111111111112
Syrian,2003,9,0.14059302541944715,0.4444444444444444,0.5555555555555556
Syrian,2004,31,0.22828454356039724,0.3870967741935484,0.6129032258064516
Syrian,2005,40,-0.018893322348594664,0.525,0.475
Syrian,2006,31,-0.004430111377469955,0.5161290322580645,0.4838709677419355
Syrian,2007,24,0.3741598402460416,0.2916666666666667,0.7083333333333334
Syrian,2008,46,0.30298770381056744,0.34782608695652173,0.6521739130434783
Syrian,2009,47,0.24330533311722127,0.3617021276595745,0.6382978723404256
Syrian,2010,102,0.32662123324824316,0.3333333333333333,0.6666666666666666
Syrian,2011,355,-0.2092973504267948,0.6028169014084507,0.3971830985915493
Syrian,2012,1031,-0.31394205876164477,0.6585838991270611,0.3414161008729389
Syrian,2013,621,-0.31235495895963167,0.6586151368760065,0.3413848631239936
Syrian,2014,1722,-0.3113001480127461,0.6585365853658537,0.34146341463414637
Syrian,2015,1440,-0.21905803183714548,0.6111111111111112,0.3888888888888889
Syrian,2016,1814,-0.4003627844064475,0.7056229327453142,0.29437706725468576
Syrian,2017,2258,-0.4260776784960626,0.7165633303808681,0.283436669619132
Syrian,2018,3141,-0.5398571558038128,0.7787328876154092,0.2212671123845909
Syrian,2019,7603,-0.5009194056438675,0.7598316454031303,0.24016835459686967
Syrian,2020,3343,-0.4807853674482094,0.7469338917140294,0.2530661082859707
Syrian,2021,3923,-0.593485607226953,0.8072903390262555,0.1927096609737446
Syrian,2022,8539,-0.5582328415863519,0.7895538119217707,0.2104461880782293
Syrian,2023,4368,-0.5626745677447362,0.7951007326007326,0.2048992673992674
Syrian,2024,7772,-0.5475093843362654,0.7834534225424601,0.21654657745753988
Syrian,2025,1824,-0.46414265170562685,0.7428728070175439,0.2571271929824561
Ukrainian,2000,2,0.17885777354240417,0.5,0.5
Ukrainian,2001,1,0.893944501876831,0.0,1.0
Ukrainian,2002,5,0.5819654703140259,0.2,0.8
Ukrainian,2003,18,0.3254215617974599,0.2777777777777778,0.7222222222222222
Ukrainian,2004,56,-0.0780133381485939,0.5178571428571429,0.48214285714285715
Ukrainian,2005,11,-0.5220338539643721,0.8181818181818182,0.18181818181818182
Ukrainian,2006,12,0.4511679808298747,0.25,0.75
Ukrainian,2007,6,0.24192630251248678,0.3333333333333333,0.6666666666666666
Ukrainian,2008,17,0.11223682235268985,0.47058823529411764,0.5294117647058824
Ukrainian,2009,22,-0.014509927142750133,0.5,0.5
Ukrainian,2010,29,-0.18785177633680147,0.6206896551724138,0.3793103448275862
Ukrainian,2011,264,-0.15638839769544025,0.5795454545454546,0.42045454545454547
Ukrainian,2012,84,-0.01962789325487046,0.5,0.5
Ukrainian,2013,144,-0.1590927168726921,0.5902777777777778,0.4097222222222222
Ukrainian,2014,739,-0.18307232421209105,0.5899864682002707,0.4100135317997294
Ukrainian,2015,343,-0.15551882947499132,0.5714285714285714,0.42857142857142855
Ukrainian,2016,299,-0.1525479439508955,0.5819397993311036,0.4180602006688963
Ukrainian,2017,732,-0.12060705381013005,0.5519125683060109,0.44808743169398907
Ukrainian,2018,500,-0.1863913245201111,0.592,0.408
Ukrainian,2019,826,-0.14194267764507137,0.5690072639225182,0.43099273607748184
Ukrainian,2020,344,-0.1835002996200739,0.5959302325581395,0.40406976744186046
Ukrainian,2021,583,-0.4284062563452876,0.7221269296740995,0.27787307032590053
Ukrainian,2022,5923,-0.3979919665108938,0.7047104507850751,0.2952895492149249
Ukrainian,2023,2744,-0.3692387377207898,0.6895043731778425,0.3104956268221574
Ukrainian,2024,1215,-0.3445284071773168,0.6748971193415638,0.32510288065843623
Ukrainian,2025,1659,-0.3558691810455,0.6835443037974683,0.31645569620253167
